"phenotype","risk_score","t","p","adj.r","t_w_prs","p_w_prs","adj.r_prs","anova_p","AIC","AIC_w_prs","prs_ad_t","prs_ad_p","fdr_RS_p","fdr_RS_wprs_p","fdr_prs_ad_p","bonferroni_RS_p","bonferroni_RS_wprs_p","bonferroni_prs_ad_p"
"sqrt(tangles)","pLI (DEL)","4.69E-01","6.39E-01","7.00E-02","-1.82E-01","8.56E-01","2.21E-01","5.70E-40","3.36E+03","3.19E+03","1.38E+01","5.70E-40","7.44E-01","9.01E-01","7.60E-39","1.00E+00","1.00E+00","6.84E-38"
"sqrt(tangles)","pLI (DUP)","1.47E+00","1.42E-01",NA,"1.03E+00","3.02E-01",NA,NA,"3.36E+03","3.19E+03",NA,NA,"2.89E-01","5.18E-01"," NA","1.00E+00","1.00E+00"," NA"
"sqrt(tangles)","LOEUF (DEL)","6.70E-01","5.03E-01","7.34E-02","-5.12E-02","9.59E-01","2.23E-01","1.08E-39","3.36E+03","3.19E+03","1.38E+01","1.08E-39","6.93E-01","9.59E-01","1.30E-38","1.00E+00","1.00E+00","1.30E-37"
"sqrt(tangles)","LOEUF (DUP)","2.37E+00","1.82E-02",NA,"1.83E+00","6.72E-02",NA,NA,"3.36E+03","3.19E+03",NA,NA,"5.75E-02","1.54E-01"," NA","1.00E+00","1.00E+00"," NA"
"sqrt(tangles)","pHI","2.23E-01","8.24E-01","7.14E-02","-4.06E-01","6.85E-01","2.21E-01","1.21E-39","3.36E+03","3.19E+03","1.38E+01","1.21E-39","8.75E-01","7.79E-01","1.32E-38","1.00E+00","1.00E+00","1.45E-37"
"sqrt(tangles)","pTS","1.92E+00","5.57E-02",NA,"9.63E-01","3.36E-01",NA,NA,"3.36E+03","3.19E+03",NA,NA,"1.34E-01","5.52E-01"," NA","1.00E+00","1.00E+00"," NA"
"sqrt(tangles)","pHI (binarized)","-1.39E-01","8.90E-01","7.46E-02","-6.12E-01","5.41E-01","2.23E-01","2.09E-39","3.36E+03","3.19E+03","1.37E+01","2.09E-39","9.21E-01","7.13E-01","2.09E-38","1.00E+00","1.00E+00","2.51E-37"
"sqrt(tangles)","pTS (binarized)","2.66E+00","7.96E-03",NA,"1.82E+00","6.93E-02",NA,NA,"3.36E+03","3.19E+03",NA,NA,"3.29E-02","1.54E-01"," NA","9.55E-01","1.00E+00"," NA"
"sqrt(amyloid)","pLI (DEL)","-2.48E-01","8.04E-01","4.05E-02","-8.28E-01","4.08E-01","1.50E-01","4.57E-28","3.07E+03","2.95E+03","1.13E+01","4.57E-28","8.61E-01","6.36E-01","3.92E-27","1.00E+00","1.00E+00","5.48E-26"
"sqrt(amyloid)","pLI (DUP)","1.76E+00","7.94E-02",NA,"1.41E+00","1.58E-01",NA,NA,"3.07E+03","2.95E+03",NA,NA,"1.70E-01","3.16E-01"," NA","1.00E+00","1.00E+00"," NA"
"sqrt(amyloid)","LOEUF (DEL)","-2.78E-01","7.81E-01","3.86E-02","-9.36E-01","3.50E-01","1.49E-01","3.83E-28","3.07E+03","2.95E+03","1.13E+01","3.83E-28","8.44E-01","5.68E-01","3.54E-27","1.00E+00","1.00E+00","4.60E-26"
"sqrt(amyloid)","LOEUF (DUP)","1.06E+00","2.89E-01",NA,"5.13E-01","6.08E-01",NA,NA,"3.07E+03","2.95E+03",NA,NA,"5.03E-01","7.26E-01"," NA","1.00E+00","1.00E+00"," NA"
"sqrt(amyloid)","pHI","-5.60E-01","5.75E-01","3.99E-02","-1.12E+00","2.61E-01","1.49E-01","5.86E-28","3.07E+03","2.95E+03","1.13E+01","5.86E-28","7.20E-01","4.67E-01","4.69E-27","1.00E+00","1.00E+00","7.03E-26"
"sqrt(amyloid)","pTS","1.53E+00","1.25E-01",NA,"7.10E-01","4.78E-01",NA,NA,"3.07E+03","2.95E+03",NA,NA,"2.59E-01","6.80E-01"," NA","1.00E+00","1.00E+00"," NA"
"sqrt(amyloid)","pHI (binarized)","-1.17E+00","2.42E-01","4.41E-02","-1.61E+00","1.09E-01","1.52E-01","9.80E-28","3.07E+03","2.95E+03","1.13E+01","9.80E-28","4.47E-01","2.29E-01","7.35E-27","1.00E+00","1.00E+00","1.18E-25"
"sqrt(amyloid)","pTS (binarized)","2.53E+00","1.14E-02",NA,"1.83E+00","6.80E-02",NA,NA,"3.07E+03","2.95E+03",NA,NA,"4.41E-02","1.54E-01"," NA","1.00E+00","1.00E+00"," NA"
