"phenotype","PRS_t","PRS_p","adj.r","adj.r_rs","anova_p","PRS_p_fdr"
"sqrt(tangles)","1.39E+01","2.61E-40","2.22E-01","2.21E-01","5.72E-01",4.176e-39
"sqrt(tangles)","1.39E+01","2.61E-40","2.22E-01","2.23E-01","1.85E-01",4.176e-39
"sqrt(tangles)","1.39E+01","2.61E-40","2.22E-01","2.21E-01","5.89E-01",4.176e-39
"sqrt(tangles)","1.39E+01","2.61E-40","2.22E-01","2.23E-01","1.84E-01",4.176e-39
"sqrt(amyloid)","1.14E+01","3.32E-28","1.50E-01","1.50E-01","2.48E-01",3.984e-27
"sqrt(amyloid)","1.14E+01","3.32E-28","1.50E-01","1.49E-01","5.46E-01",3.984e-27
"sqrt(amyloid)","1.14E+01","3.32E-28","1.50E-01","1.49E-01","4.28E-01",3.984e-27
"sqrt(amyloid)","1.14E+01","3.32E-28","1.50E-01","1.52E-01","8.23E-02",3.984e-27
"arteriol_scler","2.52E+00","1.20E-02","4.22E-02","4.46E-02","1.03E-01",0.048
"arteriol_scler","2.52E+00","1.20E-02","4.22E-02","4.57E-02","6.03E-02",0.048
"arteriol_scler","2.52E+00","1.20E-02","4.22E-02","4.63E-02","4.34E-02",0.048
"arteriol_scler","2.52E+00","1.20E-02","4.22E-02","4.44E-02","1.17E-01",0.048
"cvda_4gp2","3.94E+00","8.60E-05","2.91E-02","4.60E-02","6.61E-05",0.000688
"cvda_4gp2","3.94E+00","8.60E-05","2.91E-02","4.70E-02","3.97E-05",0.000688
"cvda_4gp2","3.94E+00","8.60E-05","2.91E-02","4.98E-02","9.10E-06",0.000688
"cvda_4gp2","3.94E+00","8.60E-05","2.91E-02","4.51E-02","1.03E-04",0.000688
"cogn_global","-2.03E+01","5.71E-77","3.25E-01","3.24E-01","6.48E-01",1.3704e-75
"cogn_global","-2.03E+01","5.71E-77","3.25E-01","3.25E-01","4.30E-01",1.3704e-75
"cogn_global","-2.03E+01","5.71E-77","3.25E-01","3.24E-01","6.42E-01",1.3704e-75
"cogn_global","-2.03E+01","5.71E-77","3.25E-01","3.24E-01","5.47E-01",1.3704e-75
"cogdx","1.42E+01","1.39E-45","3.27E-01","3.28E-01","4.90022221662147705601E-01",2.78e-44
"cogdx","1.42E+01","1.39E-45","3.27E-01","3.29E-01","4.35121259291916806511E-01",2.78e-44
"cogdx","1.42E+01","1.39E-45","3.27E-01","3.28E-01","5.71895562161627846187E-01",2.78e-44
"cogdx","1.42E+01","1.39E-45","3.27E-01","3.28E-01","6.89644377723618307030E-01",2.78e-44
