"phenotype","risk_score","F","Pr(>F)","p","p_int_msex"
"PHF-Tau","pLI (DEL)","0.810152665085121","0.44508812727337","0.634145913280397","0.225582750785648"
"PHF-Tau","pLI (DUP)","0.810152665085121","0.44508812727337","0.141916878802394","0.667202182858613"
"PHF-Tau","LOEUF (DEL)","0.658353131430549","0.517932268066739","0.49907626279067","0.269721459794232"
"PHF-Tau","LOEUF (DUP)","0.658353131430549","0.517932268066739","0.0181923420026807","0.796438505990634"
"PHF-Tau","pHI","0.71292744529436","0.490461359545881","0.823831408881585","0.261033661197487"
"PHF-Tau","pTS","0.71292744529436","0.490461359545881","0.0556672781801882","0.725509086645381"
"PHF-Tau","pHI (binarized)","0.483055907931998","0.617042289875686","0.889611401201657","0.355414235681399"
"PHF-Tau","pTS (binarized)","0.483055907931998","0.617042289875686","0.00795987112546384","0.881439123219993"
"Overall Amyloid Load","pLI (DEL)","1.79298886606569","0.167005857554147","0.811632071971293","0.0999840298137315"
"Overall Amyloid Load","pLI (DUP)","1.79298886606569","0.167005857554147","0.0793254944985774","0.37994690283758"
"Overall Amyloid Load","LOEUF (DEL)","1.37546698019285","0.25320750835336","0.780515076033741","0.117167106884387"
"Overall Amyloid Load","LOEUF (DUP)","1.37546698019285","0.25320750835336","0.288912220274225","0.642164546110728"
"Overall Amyloid Load","pHI","1.3616203509721","0.256728094068524","0.575392434701335","0.0997930206838574"
"Overall Amyloid Load","pTS","1.3616203509721","0.256728094068524","0.125481364405085","0.982402619215653"
"Overall Amyloid Load","pHI (binarized)","1.68223400594936","0.186492975352686","0.241867344638951","0.0672608208039818"
"Overall Amyloid Load","pTS (binarized)","1.68223400594936","0.186492975352686","0.0114219547820248","0.790485931768177"
"Arteriolosclerosis","pLI (DEL)","0.886597711784238","0.412385207732343","0.0244942670114775","0.191468543539307"
"Arteriolosclerosis","pLI (DUP)","0.886597711784238","0.412385207732343","0.868858780521563","0.76782107586825"
"Arteriolosclerosis","LOEUF (DEL)","1.80644650648464","0.164782608226019","0.0158169487106795","0.197753989761444"
"Arteriolosclerosis","LOEUF (DUP)","1.80644650648464","0.164782608226019","0.698027690775815","0.180743934805347"
"Arteriolosclerosis","pHI","2.10360729706674","0.122565550902458","0.0112981701561809","0.184577250242131"
"Arteriolosclerosis","pTS","2.10360729706674","0.122565550902458","0.571727366480805","0.10428296617087"
"Arteriolosclerosis","pHI (binarized)","0.683543024571632","0.505065484316051","0.0446417911169753","0.276329872323302"
"Arteriolosclerosis","pTS (binarized)","0.683543024571632","0.505065484316051","0.577261688439861","0.530235015615348"
"Cerebral
Atherosclerosis Rating","pLI (DEL)","0.337843452356221","0.713389820394348","8.92778280998064e-06","0.865252006772344"
"Cerebral
Atherosclerosis Rating","pLI (DUP)","0.337843452356221","0.713389820394348","0.508104361098102","0.418479360610526"
"Cerebral
Atherosclerosis Rating","LOEUF (DEL)","0.523719888879275","0.592478450420811","1.0207136579169e-05","0.893825252238473"
"Cerebral
Atherosclerosis Rating","LOEUF (DUP)","0.523719888879275","0.592478450420811","0.267534084333229","0.30804477167708"
"Cerebral
Atherosclerosis Rating","pHI","0.0183072665636599","0.98185962857215","4.95758297433911e-06","0.97097439072371"
"Cerebral
Atherosclerosis Rating","pTS","0.0183072665636599","0.98185962857215","0.0649137133325467","0.849881882149648"
"Cerebral
Atherosclerosis Rating","pHI (binarized)","1.5907250513979","0.204302443885551","1.16224705064876e-05","0.77263675857663"
"Cerebral
Atherosclerosis Rating","pTS (binarized)","1.5907250513979","0.204302443885551","0.568294631577493","0.0749702476923447"
"Global Cognitive Function","pLI (DEL)","0.740166044387861","0.477297694937792","0.627674440500758","0.96764909469991"
"Global Cognitive Function","pLI (DUP)","0.740166044387861","0.477297694937792","0.202931433086385","0.225051926956089"
"Global Cognitive Function","LOEUF (DEL)","0.0619439123341356","0.939939235814037","0.450995396216373","0.956473041041574"
"Global Cognitive Function","LOEUF (DUP)","0.0619439123341356","0.939939235814037","0.0509905603947295","0.730223935561445"
"Global Cognitive Function","pHI","0.0879452896236042","0.915818112058393","0.671576884616123","0.968327153749595"
"Global Cognitive Function","pTS","0.0879452896236042","0.915818112058393","0.0473432804209443","0.675399363802691"
"Global Cognitive Function","pHI (binarized)","0.220335147952803","0.802289091695672","0.90949848676592","0.975223543093442"
"Global Cognitive Function","pTS (binarized)","0.220335147952803","0.802289091695672","0.0402032028720891","0.511592692063893"
