"phenotype","risk_score","F","Pr(>F)","p","p_int_msex"
"Global Cognitive Function","pLI (DEL)","0.763039082828432","0.466520209279623","0.570528137828856","0.801740031010414"
"Global Cognitive Function","pLI (DUP)","0.763039082828432","0.466520209279623","0.24677442795805","0.570433688585771"
"Global Cognitive Function","LOEUF (DEL)","0.0838878479975103","0.919540887205372","0.406356011881803","0.20506406923283"
"Global Cognitive Function","LOEUF (DUP)","0.0838878479975103","0.919540887205372","0.0530028849026124","0.552547314600656"
"Global Cognitive Function","pHI","0.0939923883065395","0.910297780637023","0.615990713047962","0.0757701250483055"
"Global Cognitive Function","pTS","0.0939923883065395","0.910297780637023","0.0545488814221181","0.498234722560774"
"Global Cognitive Function","pHI (binarized)","0.245628790888937","0.78225999975487","0.83682731965489","0.0507646212496609"
"Global Cognitive Function","pTS (binarized)","0.245628790888937","0.78225999975487","0.0540587749591151","0.544429187360125"
"Final Consensus Cognitive Diagnosis","pLI (DEL)","7.57044046582291","0.0227038620884444","0.698650775694837","0.870705087227614"
"Final Consensus Cognitive Diagnosis","pLI (DUP)","7.57044046582291","0.0227038620884444","0.149588701750091","0.495854630770269"
"Final Consensus Cognitive Diagnosis","LOEUF (DEL)","2.59409372195751","0.273337806856214","0.544605688443749","0.423722485746351"
"Final Consensus Cognitive Diagnosis","LOEUF (DUP)","2.59409372195751","0.273337806856214","0.0717827378594617","0.454442634628513"
"Final Consensus Cognitive Diagnosis","pHI","1.71035586234029","0.425207526678169","0.798443535340351","0.209255623955237"
"Final Consensus Cognitive Diagnosis","pTS","1.71035586234029","0.425207526678169","0.0342251026407671","0.427260166670818"
"Final Consensus Cognitive Diagnosis","pHI (binarized)","2.2145794493706","0.330453368089259","0.939583500416545","0.292341059200781"
"Final Consensus Cognitive Diagnosis","pTS (binarized)","2.2145794493706","0.330453368089259","0.0310276434258391","0.47598030788404"
